Prod;sucursal actual;Genero;Tipo de credito;Producto de credito;Plazo de credito;Tasa;Montos desembolsados;Tipo de tasa;Clase de deudor;municipio;Edad;MEDIA;MODA ;VARINZA
96;436;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,69;70.000.000,00;Tasa Fija;Antiguo;MEDELLIN;64;;;
96;74;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,53;20.500.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;52;;;
96;435;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;20,39;15.000.000,00;Tasa Fija;Antiguo;IBAGUE;53;;;
96;910;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17,08;27.800.000,00;Tasa Fija;Antiguo;TULUA;54;;;
96;72;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,19;11.800.000,00;Tasa Fija;Antiguo;CALI;48;;;
96;598;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;19,99;35.000.000,00;Tasa Fija;Antiguo;MOCOA;44;;;
96;72;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,39;20.000.000,00;Tasa Fija;Antiguo;CALI;66;;;
96;317;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,79;80.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;56;;;
96;942;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;21,8;6.900.000,00;Tasa Fija;Antiguo;PEREIRA;61;;;
96;19;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,25;45.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;59;;;
96;418;Femenino;Consumo;Libre Inversion;Entre 31 dias y  1 año;17,25;70.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;61;;;
96;235;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;26,8;1.676.415,00;Tasa Fija;Antiguo;CALI;50;;;
96;19;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17,19;7.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;57;;;
96;518;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,69;22.916.635,00;Tasa Fija;Antiguo;SANTA MARTA;50;;;
96;323;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;28,8;4.945.395,00;Tasa Fija;Antiguo;CUCUTA;65;;;
96;530;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;23,17;20.000.000,00;Tasa Fija;Antiguo;MAGANGUE;68;;;
96;691;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,19;27.700.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;62;;;
96;85;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,8;42.000.000,00;Tasa Fija;Antiguo;SOACHA;59;;;
96;356;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;20,69;5.000.000,00;Tasa Fija;Antiguo;ZIPAQUIRA;56;;;
96;198;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;18,52;15.000.000,00;Tasa Fija;Antiguo;BUENAVENTURA;48;;;
96;87;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,67;20.000.000,00;Tasa Fija;Antiguo;BARRANCAS;48;;;
96;330;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;28,79;9.400.000,00;Tasa Fija;Antiguo;EL BANCO;53;;;
96;330;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;18,5;15.000.000,00;Tasa Fija;Antiguo;EL BANCO;55;;;
